questions,answers
aHow can I support this website?,"There are a few ways that you can give back and support me and this website.
1. Spread the Word
Word of mouth is still a really big deal.
Share a note on social media about Machine Learning Mastery.
For example:
I am loving the machine learning tutorials on https://MachineLearningMastery.com
2. Purchase an Ebook
My best advice on applied machine learning and deep learning is captured in my Ebooks.
They are designed to help you learn and get the results the fastest way I know how.
All Ebook sales directly fund and support my continued work on this website and creating new tutorials.

Discover the Ebook Catalog

3. Make a Donation or Become a Patron
If you want to support this site financially but cannot afford an Ebook, then consider making a one time donation.
Think of it like buying me a coffee or adding a few dollars to the tip jar. Every little bit helps.
You may also want to become a patron and donate a small amount each month.

Discover How to Donate or Become a Patron

Thank You!
This site would not exist without the support of generous readers like you!
"
aHow do you write so much?,"I write every day.
I wrote (almost) all of the posts on this site and I wrote all of the books in the catalog.
I make it a priority to write and dedicate time every single day to replying to blog comments, replying to emails from readers, and to writing and editing tutorials on applied machine learning.
I very rarely take a break and even write while on vacation.
I aim to be super responsive and accessible, so much so, that some readers and customers get frustrated when I take a long haul flight.
I’m also fortunate that working on Machine Learning Mastery is my full-time job, and has been since May 2016. Before that, it was a side project where I wrote early in the morning before work (4:30 am to 5:30am) and on weekends.
If you want to get a lot done, you need to put in the hours.
"
aWhat do you mean by “mastery”?,"I don’t think I’m a machine learning master.
I do believe in striving for mastery.
Mastery is a journey. I think it is beyond just competence, it is a journey without an end.
Applied machine learning is endlessly fascinating. It is an enormous field, always with new methods or more detail to learn. Machine learning mastery means continuous self-study.
I want to help you on this journey by pointing out a few things I have learned that I think will short-cut parts of this journey, such as:

How to get started.
How to get results.
What to focus on.

I hope that I can help you on your journey.
"
aWhat do you mean by “results-first” machine learning?,"There are many ways to study machine learning.
For example, a classical academic approach is to start by learning the mathematical prerequisite subjects, then learn general machine learning theories and their derivations, then the derivations of machine learning algorithms. One day you might be able to run an algorithm on real data.
This approach can crush the motivation of a developer interested in learning how to get started and use machine learning to add value in business.
An alternative is to study machine learning as a suite of tools that generate results to problems.
In this way, machine learning can be broken down into a suite of tutorials for studying the tools of machine learning. Specifically, applied machine learning, because methods that are not useful or do not generate results are not considered, at least not at first.
By focusing on how to generate results, a practitioner can start adding value very quickly. They can also filter possible areas to study in broader machine learning and narrow their focus to those areas that produce results that are directly useful and relevant to their project or goals.
I call this approach to studying machine learning “results-first“, as opposed to “theory-first“.
"
aWhat do you mean by “top-down” machine learning?,"Undergraduate and postgraduate courses on machine learning are generally designed to teach you theoretical machine learning. They are training academics.
This also applies to machine learning textbooks, designed to be used in these courses.
These courses are great if you want to be a machine learning academic. They may not be great if you want to be a machine learning practitioner.
The approach starts from first principles and is rooted in theory and math. I refer to this as bottom-up machine learning.
An alternate approach is to focus on what practitioners need to know in order to add value using the tools of machine learning in business. Specifically, how to work through predictive modeling problems end-to-end.
Theory and math may be used but is touched on later, in the context of the process of working through a project and only in ways that make working through a project clearer or allow the practitioner to achieve better results.
I recommend that developers that are interested in being machine learning practitioners use this approach.
I refer to it as top-down machine learning.
You can discover more about how you are already using the top-down approach to learning in this post:

You’re Doing it Wrong. Why Machine Learning Does Not Have to Be So Hard

Learn more about the contrast between bottom-up and top-down machine learning in this post:

Machine Learning for Programmers

Learn how to get started with top-down machine learning here:

How to get started with machine learning

"
aWhat is your background?,"Thanks for your interest.
I have a bunch of degrees in computer science and artificial intelligence and I have worked many years in the tech industry in teams where your code has to work and be maintainable.
If you want to see a detailed resume, I have a version on LinkedIn:

Jason Brownlee’s LinkedIn Profile

I also have a blog post that gives some narrative on my background.

How I Got Started In Machine Learning

Academia was a bad fit for me, but I loved to research and to write.
I think of myself as a good engineer that really wants to help other people get started and get good at machine learning, without wasting years of their life “getting ready to get started“.
Learn more about my approach to teaching applied machine learning here:

The Machine Learning Mastery Method

"
aWho is behind this website?,"Just me, Jason Brownlee.

No big team of writers.
No faceless company.
No help desk staff.

I’m a real person with a passion for machine learning, a passion for helping others with machine learning, and I sell Ebooks to keep this site going and to support my family.
Note that I do hire contractors like a copy editor to catch typos and and technical editors to test the code in my books.
 
"
aWhy did you create this website?,"I started this site for two reasons:
1) I think machine learning is endlessly interesting.
I’ve studied and worked in a few different areas of artificial intelligence, computational intelligence, multi-agent systems, severe weather forecasting, but I keep coming back to applied machine learning.
2) I want to help developers get started and get good at machine learning.
I see so many developers wasting so much time. Studying the wrong way, focusing on the wrong things, getting ready to get started in machine learning but never pulling the trigger. It’s a waste and I hate it.
Learn more here:

About Machine Learning Mastery

"
aDo code examples run on Google Colab?,"All code examples were designed to run on your workstation.
If you need help setting up your Python development environment, a tutorial is provided in the appendix of most books showing you exactly how to do this.
You can also see a tutorial on this topic here:

How to Setup Your Python Environment for Machine Learning with Anaconda

You can also run deep learning examples on AWS EC2 instances that provide access to GPU cheaply. Again, all deep learning books provide an appendix with a tutorial on how to run code on EC2.
You can also see a tutorial on this topic here:

How to Train Keras Deep Learning Models on AWS EC2 GPUs (step-by-step)

I understand that Google Colab is a cloud-based environment for running code in notebooks.
I have not used Google Colab and I have not tested the code examples in Google Colab.
I generally recommend against using notebooks if you are a beginner as they can introduce confusion and additional problems.
Nevertheless, some of readers report that have run code examples on Google Colab successfully.
"
aDo I need special hardware for deep learning?,"Generally, you do not need special hardware for developing deep learning models.
You can use a sample of your data to develop and test small models on your workstation with the CPU. You can then develop larger models and run long experiments on server hardware that has GPU support.
I write more about this approach in this post:

Machine Learning Development Environment

For running experiments with large models or large datasets, I recommend using Amazon EC2 service. It offers GPU support and is very cheap.
This tutorial shows you how to get started with EC2:

How To Develop and Evaluate Large Deep Learning Models with Keras on Amazon Web Services

"
