,questions,answers
0,Как я могу поддержать этот сайт?,"Есть несколько способов вернуть и поддержать меня и этот сайт.
1. Распространяйте слово
Молва по-прежнему очень важна.
Поделитесь заметкой в ​​социальных сетях о Machine Learning Mastery.
Например:
Мне нравятся руководства по машинному обучению на https://MachineLearningMastery.com
2. Купить электронную книгу.
Мой лучший совет по прикладному машинному обучению и глубокому обучению записан в моих электронных книгах.
Они разработаны, чтобы помочь вам учиться и получать результаты самым быстрым из известных мне способов.
Все продажи электронных книг напрямую финансируют и поддерживают мою дальнейшую работу над этим сайтом и создание новых руководств.

Откройте для себя каталог электронных книг

3. Сделайте пожертвование или станьте покровителем
Если вы хотите поддержать этот сайт финансово, но не можете позволить себе электронную книгу, подумайте о том, чтобы сделать одноразовое пожертвование.
Думайте об этом, как о покупке мне кофе или добавлении нескольких долларов в банку для чаевых. Любая мелочь помогает.
Вы также можете стать покровителем и ежемесячно жертвовать небольшую сумму.

Узнайте, как сделать пожертвование или стать покровителем

Спасибо!
Этот сайт не существовал бы без поддержки таких щедрых читателей, как вы!"
1,Как ты так много пишешь?,"Пишу каждый день.
Я написал (почти) все сообщения на этом сайте и написал все книги в каталоге.
Я считаю своим приоритетом писать и каждый день посвящать время ответам на комментарии в блогах, ответам на электронные письма читателей, а также написанию и редактированию руководств по прикладному машинному обучению.
Я очень редко делаю перерыв и даже пишу в отпуске.
Я стремлюсь быть максимально отзывчивым и доступным, настолько, что некоторые читатели и клиенты расстраиваются, когда я летаю на дальние расстояния.
Мне также повезло, что работа над Machine Learning Mastery - это моя постоянная работа с мая 2016 года. До этого это был побочный проект, в котором я писал рано утром перед работой (с 4:30 до 5:00). 30 утра) и по выходным.
Если вы хотите сделать много, вам нужно потратить часы."
2,Что вы имеете в виду под «мастерством»?,"Не думаю, что я мастер машинного обучения.
Я верю в стремление к мастерству.
Мастерство - это путешествие. Я думаю, что это выходит за рамки компетенции, это путешествие без конца.
Прикладное машинное обучение бесконечно увлекательно. Это огромная область, в которой всегда есть новые методы или более подробное изучение. Мастерство машинного обучения означает непрерывное самообучение.
Я хочу помочь вам в этом путешествии, указав на несколько вещей, которые я узнал, которые, как мне кажется, помогут сократить часть этого пути, например:

С чего начать.
Как добиться результатов.
На что обратить внимание.

Я надеюсь, что смогу помочь вам в вашем путешествии."
3,"Что вы имеете в виду под машинным обучением, ориентированным на результат?","Есть много способов изучить машинное обучение.
Например, классический академический подход заключается в том, чтобы начать с изучения необходимых математических предметов, затем изучить общие теории машинного обучения и их выводы, а затем - выводы алгоритмов машинного обучения. Однажды вы сможете запустить алгоритм на реальных данных.
Такой подход может разрушить мотивацию разработчика, заинтересованного в том, чтобы научиться начинать работу и использовать машинное обучение для повышения ценности бизнеса.
Альтернативой является изучение машинного обучения как набора инструментов, которые позволяют решать проблемы.
Таким образом, машинное обучение можно разбить на набор руководств для изучения инструментов машинного обучения. В частности, прикладное машинное обучение, потому что методы, которые бесполезны или не дают результатов, не рассматриваются, по крайней мере, сначала.
Сосредоточившись на том, как добиться результатов, практик может очень быстро начать добавлять ценность. Они также могут отфильтровать возможные области для изучения в рамках более широкого машинного обучения и сузить фокус до тех областей, которые дают результаты, которые непосредственно полезны и имеют отношение к их проекту или целям.
Я называю этот подход к изучению машинного обучения «сначала результаты», а не «теория - прежде всего»."
4,Что вы имеете в виду под машинным обучением «сверху вниз»?,"Курсы бакалавриата и магистратуры по машинному обучению, как правило, предназначены для обучения теоретическому машинному обучению. Они обучают ученых.
Это также относится к учебникам по машинному обучению, предназначенным для использования на этих курсах.
Эти курсы отлично подходят, если вы хотите стать специалистом по машинному обучению. Они могут не подойти, если вы хотите заниматься машинным обучением.
Подход начинается с основных принципов и основан на теории и математике. Я называю это машинным обучением снизу вверх.
Альтернативный подход - сосредоточиться на том, что необходимо знать практикующим специалистам, чтобы повысить ценность использования инструментов машинного обучения в бизнесе. В частности, как решать проблемы прогнозного моделирования от начала до конца.
Теория и математика могут использоваться, но будут затронуты позже, в контексте процесса работы над проектом, и только таким образом, чтобы сделать работу над проектом более понятной или позволить практикующему специалисту достичь лучших результатов.
Я рекомендую этот подход использовать разработчикам, которые заинтересованы в том, чтобы стать практиками в области машинного обучения.
Я называю это машинным обучением сверху вниз.
Вы можете узнать больше о том, как вы уже используете нисходящий подход к обучению, в этом посте:

Ты делаешь это неправильно. Почему машинное обучение не должно быть таким сложным

Узнайте больше о контрасте между восходящим и нисходящим машинным обучением в этом посте:

Машинное обучение для программистов

Узнайте, как начать работу с нисходящим машинным обучением здесь:

Как начать работу с машинным обучением"
5,Какое у тебя прошлое?,"Спасибо за ваш интерес.
У меня есть несколько степеней в области компьютерных наук и искусственного интеллекта, и я много лет проработал в технической индустрии в командах, где ваш код должен работать и быть поддерживаемым.
Если вы хотите увидеть подробное резюме, у меня есть версия в LinkedIn:

Профиль Джейсона Браунли в LinkedIn

У меня также есть сообщение в блоге, в котором рассказывается о моем прошлом.

Как я начал заниматься машинным обучением

Академия мне не подходила, но я любил исследовать и писать.
Я считаю себя хорошим инженером, который действительно хочет помочь другим людям начать работу и научиться машинному обучению, не тратя годы своей жизни на «подготовку к работе».
Узнайте больше о моем подходе к обучению прикладному машинному обучению здесь:

Метод мастерства машинного обучения"
6,Кто стоит за этим сайтом?,"Только я, Джейсон Браунли.

Нет большой команды писателей.
Никакой безликой компании.
Нет сотрудников службы поддержки.

Я настоящий человек со страстью к машинному обучению, страстным желанием помогать другим с помощью машинного обучения, и я продаю электронные книги, чтобы поддерживать работу этого сайта и поддерживать свою семью.
Обратите внимание, что я нанимаю подрядчиков, таких как редактор текстов, чтобы выявлять опечатки, и технических редакторов, чтобы проверить код в моих книгах.
"
7,Почему вы создали этот сайт?,"Я запустил этот сайт по двум причинам:
1) Я считаю, что машинное обучение бесконечно интересно.
Я изучал и работал в нескольких различных областях искусственного интеллекта, вычислительного интеллекта, многоагентных систем, прогнозирования суровой погоды, но продолжаю возвращаться к прикладному машинному обучению.
2) Я хочу помочь разработчикам начать и научиться машинному обучению.
Я вижу, как многие разработчики тратят столько времени зря. Учиться неправильно, сосредотачиваться на неправильных вещах, готовиться начать машинное обучение, но никогда не нажимать на курок. Это пустая трата времени, и я это ненавижу.
Узнайте больше здесь:

О мастерстве машинного обучения"
8,Работают ли примеры кода в Google Colab?,"Все примеры кода предназначены для работы на вашей рабочей станции.
Если вам нужна помощь в настройке среды разработки Python, в приложении к большинству книг предоставляется учебное пособие, показывающее, как именно это сделать.
Вы также можете увидеть руководство по этой теме здесь:

Как настроить среду Python для машинного обучения с Anaconda

Вы также можете запускать примеры глубокого обучения на инстансах AWS EC2, которые обеспечивают дешевый доступ к графическому процессору. Опять же, все книги по глубокому обучению содержат приложение с руководством по запуску кода на EC2.
Вы также можете увидеть руководство по этой теме здесь:

Как обучить модели глубокого обучения Keras на графических процессорах AWS EC2 (шаг за шагом)

Я понимаю, что Google Colab - это облачная среда для запуска кода в ноутбуках.
Я не использовал Google Colab и не тестировал примеры кода в Google Colab.
Я обычно не рекомендую использовать записные книжки, если вы новичок, поскольку они могут вызвать путаницу и дополнительные проблемы.
Тем не менее, некоторые из читателей сообщают, что успешно запускали примеры кода в Google Colab."
9,Нужно ли мне специальное оборудование для глубокого обучения?,"Как правило, для разработки моделей глубокого обучения не требуется специального оборудования.
Вы можете использовать образец своих данных для разработки и тестирования небольших моделей на вашей рабочей станции с процессором. Затем вы можете разрабатывать более крупные модели и проводить длительные эксперименты на серверном оборудовании с поддержкой графического процессора.
Подробнее об этом подходе я пишу в этом посте:

Среда разработки машинного обучения

Для проведения экспериментов с большими моделями или большими наборами данных я рекомендую использовать сервис Amazon EC2. Он предлагает поддержку графического процессора и стоит очень дешево.
В этом руководстве показано, как начать работу с EC2:

Как разработать и оценить большие модели глубокого обучения с помощью Keras на веб-сервисах Amazon"
10,У вас есть примеры ограниченной машины Больцмана (RBM)?,"У меня нет примеров нейронных сетей с ограниченной машиной Больцмана (RBM).
Это тип нейронной сети, который был популярен в 2000-х годах и был одним из первых методов, получивших название «глубокое обучение».
Эти методы, как правило, больше неконкурентоспособны, и их использование не рекомендуется.
Вместо них я бы рекомендовал использовать глубокие многослойные персептроны (MLP) с функцией выпрямленной линейной активации."
11,У вас есть материалы по большим данным?,"У меня обычно нет материалов о больших данных или о платформах, используемых для больших данных (например, Spark, Hadoop и т. Д.).
Хотя у меня есть странный пост по теме, например:

Практика больших данных, Питер Норвиг

Я специализируюсь на обучении прикладному машинному обучению, в основном на небольших данных.
Новичкам я рекомендую сначала изучить машинное обучение на небольших данных, а затем заняться машинным обучением на больших данных. Я думаю, что вы можете быстро изучить процессы и методы, используя небольшие наборы данных в памяти. Узнайте больше здесь:

Практикуйте машинное обучение с наборами данных из репозитория машинного обучения UCI

На практике существует достаточно инструментов для загрузки больших наборов данных в память или постепенно с диска для обучения больших моделей, таких как большие модели глубокого обучения. Например:

7 способов обработки больших файлов данных для машинного обучения

Нам по-прежнему требуется машинное обучение с большими данными. Вы по-прежнему работаете со случайной выборкой со всеми вытекающими отсюда последствиями, когда дело доходит до аппроксимации функций (задача методов машинного обучения).
Кроме того, для машинного обучения больших данных часто требуются специализированные версии стандартных алгоритмов машинного обучения, которые могут масштабироваться на платформах больших данных (например, см. Mahout и Spark MLlib).
"
12,У вас есть материал о временных рядах в R?,"Извините, у меня нет материала по прогнозированию временных рядов в R.
У меня есть книга о временных рядах на Python.
Уже есть несколько отличных книг по прогнозированию временных рядов в R, например, см. Этот пост:

Лучшие книги по прогнозированию временных рядов с помощью R"
13,У вас есть учебники в Octave или Matlab?,"У меня нет руководств по Octave или Matlab.
Я считаю, что Octave и Matlab - отличные платформы для изучения работы алгоритмов машинного обучения в академической среде.
Я не думаю, что это хорошие платформы для прикладного машинного обучения в промышленности, чему посвящен мой веб-сайт."
14,У вас есть учебники по AI или AGI?,"Извините, у меня нет руководств по AI или AGI.
Я сосредотачиваюсь на прогнозном моделировании с обучением с учителем и, возможно, с небольшим обучением без учителя.
Это области машинного обучения, которые среднестатистическому разработчику может потребоваться использовать «на работе».
Для хорошего знакомства с ИИ я рекомендую:

Искусственный интеллект: руководство для мыслящих людей, 2019.

Для хорошего технического знакомства с ИИ я рекомендую:

Искусственный интеллект: современный подход, 2009."
15,У вас есть руководства по чат-ботам?,"К сожалению, в настоящее время у меня нет руководств по чат-ботам.
Я могу осветить эту тему в будущем, если будет значительный спрос.
У меня есть учебники по подготовке текстовых данных для моделирования и моделирования текстовых задач с помощью глубокого обучения.
Вы можете начать здесь:

Глубокое обучение для обработки естественного языка"
16,У вас есть учебники по глубокому обучению в R?,"Извините, у меня нет руководств по глубокому обучению в R.
Я сосредоточил свои уроки глубокого обучения на библиотеке Keras на Python.
Основная причина этого в том, что навыки машинного обучения и глубокого обучения на Python очень востребованы. Вы можете узнать больше в этом посте:

Python - растущая платформа для прикладного машинного обучения

Я считаю, что Keras теперь поддерживается в R, и, возможно, большая часть библиотеки имеет те же вызовы и аргументы функций API.
Возможно, вы сможете перенести мои руководства на основе Python на R без особых усилий."
